Code,Species,NCBI_Chromosome,Physical_Length_Mb,Map_Length_Morgans,Fraction_Functional,Mean_Global_Va,Local_Variance_vi,Z_Theoretical,Q2_bar_linked,Linked_Penalty,Total_Chrom_Ne_N
GTN,Parus major (NL),1,114.05986,1.3815,0.08518932749586167,0.04482373436199354,0.0038185037861513758,0.9,12.724789587567923,0.9759979152271775,0.8330058546445753
GTN,Parus major (NL),1A,71.365269,1.1282,0.061316035999866174,0.04482373436199354,0.0027484137097884345,0.9,15.01851736561564,0.9795729677133805,0.8345327525614112
GTN,Parus major (NL),2,150.265477,1.2741,0.09750720523078246,0.04482373436199354,0.00437063706564498,0.9,13.6038280786027,0.9707088534518884,0.8292732609126615
GTN,Parus major (NL),3,111.636321,1.0705,0.08779786798455874,0.04482373436199354,0.0039354283120892385,0.9,15.66497599898112,0.9696460266855464,0.8277497812778868
GTN,Parus major (NL),4,68.030631,0.9733,0.05543630480396515,0.04482373436199354,0.0024848622005434404,0.9,16.893627881744887,0.979229570864089,0.833865746885732
GTN,Parus major (NL),4A,19.934923,0.6552,0.022738776329562237,0.04482373436199354,0.0010192368699130842,0.9,22.809812058262835,0.9884430004321582,0.8396156919952166
GTN,Parus major (NL),5,61.875929,1.0105,0.06999027353589232,0.04482373436199354,0.003137225428896104,0.9,16.400713332561082,0.9746017358745274,0.8308480090638212
GTN,Parus major (NL),6,34.342011,0.7807,0.03870598994055784,0.04482373436199354,0.001734947011313559,0.9,20.027090668253265,0.9827770693666271,0.8358191338599632
GTN,Parus major (NL),7,37.653027,0.8367,0.04621842882156041,0.04482373436199354,0.00207168257612633,0.9,18.998803467341077,0.9805126370502373,0.8343712080772299
GTN,Parus major (NL),8,31.324166,0.4974,0.036386495111276805,0.04482373436199354,0.0016309785912318481,0.9,27.70581630751092,0.9776595317280223,0.8313198253226692
GTN,Parus major (NL),9,25.106277,0.5657,0.03017458246304979,0.04482373436199354,0.0013525374688078127,0.9,25.341583594624705,0.9830082947557551,0.835472347737571
GTN,Parus major (NL),10,20.202851,0.5667,0.030958634248306034,0.04482373436199354,0.0013876815977561852,0.9,25.310071466506802,0.9825921382897332,0.8351685427027881
GTN,Parus major (NL),11,20.315886,0.5849,0.02547588776887181,0.04482373436199354,0.0011419244259878703,0.9,24.75043240954428,0.9859678201654679,0.8376877921698962
GTN,Parus major (NL),12,20.46635,0.5542,0.026941907279155096,0.04482373436199354,0.0012076368950863082,0.9,25.709918810293733,0.9845957548034051,0.8366154885735995
GTN,Parus major (NL),13,16.48034,0.5417,0.021693599652045904,0.04482373436199354,9.723881481587412e-4,0.9,26.12311534097202,0.9873794122157833,0.8386454979969185
GTN,Parus major (NL),14,16.193477,0.5165,0.030255915139986204,0.04482373436199354,0.0013561831031137603,0.9,26.999587413961564,0.9818583847058511,0.834500194635395
GTN,Parus major (NL),15,13.820886,0.4893,0.02705088191387499,0.04482373436199354,0.001212521545165188,0.9,28.01707642629857,0.9831577885223979,0.8354005767638593
GTN,Parus major (NL),17,10.486032,0.5005,0.0211728235742087,0.04482373436199354,9.490450195836854e-4,0.9,27.588588424406517,0.986993913513396,0.8382848278263646
GTN,Parus major (NL),18,11.572643,0.5102,0.023387247099984226,0.04482373436199354,0.0010483037514679968,0.9,27.228356739848174,0.9858295650314202,0.8374371080508135
GTN,Parus major (NL),19,9.871655,0.5152,0.02240416525270485,0.04482373436199354,0.001004238351889448,0.9,27.046465757392394,0.9865112505256152,0.8379534492412443
GTN,Parus major (NL),20,14.661763,0.5094,0.023516734138534803,0.04482373436199354,0.001054107844087309,0.9,27.25769584134021,0.9857364270309581,0.8373662468409101
GTN,Parus major (NL),21,7.693166,0.5308,0.018179366831881136,0.04482373436199354,8.148671097414761e-4,0.9,26.494860885992548,0.9892631604364364,0.8400207102361834
